"correct_answer","Answer.time_in_minutes","utterance","correct_color","correct_material","workerid","rt","response","feature_type","feature","item","slide_number_in_experiment","object","label","speaker_cond"
"",6.82503333333333,"bot_check","","",0,0,"Susan","","","","1","Susan","","list1"
"['no']",6.82503333333333,"","['silver']","['metal']",0,NA,"[3180, 'no']","['material']","['glass']","['ball']","practice_trial","","ball_metal_original","list1"
"['yes']",6.82503333333333,"","['yellow']","['wood']",0,NA,"[4512, 'yes']","['color']","['yellow']","['door']","practice_trial","","door_wood_yellow","list1"
"['no']",6.82503333333333,"","['blue']","['metal']",0,NA,"[3374, 'no']","['color']","['red']","['bag']","practice_trial","","ruler_metal_blue","list1"
"['yes']",6.82503333333333,"","['red']","['plastic']",0,NA,"[3575, 'yes']","['material']","['plastic']","['ball']","practice_trial","","ball_plastic_red","list1"
"['yes']",6.82503333333333,"","['green']","['plastic']",0,NA,"[3936, 'yes']","['color']","['green']","['pitcher']","experimental_trial","","pitcher_plastic_green","list1"
"['no']",6.82503333333333,"","['green']","['paper']",0,NA,"[2659, 'no']","['color']","['red']","['bag']","experimental_trial","","bag_paper_green","list1"
"['yes']",6.82503333333333,"","['green']","['plastic']",0,NA,"[2735, 'yes']","['color']","['green']","['cup']","experimental_trial","","cup_plastic_green","list1"
"['no']",6.82503333333333,"","['blue']","['metal']",0,NA,"[2267, 'no']","['material']","['plastic']","['table']","experimental_trial","","table_metal_blue","list1"
"['no']",6.82503333333333,"","['purple']","['plastic']",0,NA,"[1970, 'no']","['color']","['white']","['chair']","experimental_trial","","chair_plastic_purple","list1"
"['yes']",6.82503333333333,"","['blue']","['plastic']",0,NA,"[2479, 'yes']","['material']","['plastic']","['bottle']","experimental_trial","","bottle_plastic_blue","list1"
"['no']",6.82503333333333,"","['green']","['wood']",0,NA,"[1856, 'no']","['color']","['orange']","['box']","experimental_trial","","box_wood_green","list1"
"['no']",6.82503333333333,"","['green']","['paper']",0,NA,"[2366, 'no']","['material']","['metal']","['plate']","experimental_trial","","plate_paper_green","list1"
"['no']",6.82503333333333,"","['brown']","['wood']",0,NA,"[1921, 'no']","['material']","['glass']","['box']","experimental_trial","","box_wood_original","list1"
"['no']",6.82503333333333,"","['green']","['plastic']",0,NA,"[3002, 'no']","['material']","['metal']","['chair']","experimental_trial","","chair_plastic_green","list1"
"['yes']",6.82503333333333,"","['green']","['plastic']",0,NA,"[3532, 'yes']","['color']","['green']","['bag']","experimental_trial","","bag_plastic_green","list1"
"['no']",6.82503333333333,"","['green']","['plastic']",0,NA,"[1802, 'no']","['color']","['blue']","['spoon']","experimental_trial","","spoon_plastic_green","list1"
"['yes']",6.82503333333333,"","['green']","['plastic']",0,NA,"[2641, 'yes']","['color']","['green']","['bottle']","experimental_trial","","bottle_plastic_green","list1"
"['no']",6.82503333333333,"","['clear']","['plastic']",0,NA,"[2297, 'no']","['color']","['black']","['bottle']","experimental_trial","","bottle_plastic_original","list1"
"['no']",6.82503333333333,"","['clear']","['plastic']",0,NA,"[2404, 'no']","['material']","['metal']","['cup']","experimental_trial","","cup_plastic_original","list1"
"['yes']",6.82503333333333,"","['silver']","['metal']",0,NA,"[2521, 'yes']","['color']","['silver']","['bowl']","experimental_trial","","bowl_metal_original","list1"
"['yes']",6.82503333333333,"","['green']","['denim']",0,NA,"[2786, 'yes']","['material']","['denim']","['jacket']","experimental_trial","","jacket_denim_green","list1"
"['yes']",6.82503333333333,"","['blue']","['plastic']",0,NA,"[2029, 'yes']","['material']","['plastic']","['spoon']","experimental_trial","","spoon_plastic_blue","list1"
"['no']",6.82503333333333,"","['blue']","['wood']",0,NA,"[2345, 'no']","['material']","['metal']","['table']","experimental_trial","","table_wood_blue","list1"
"['yes']",6.82503333333333,"","['green']","['metal']",0,NA,"[2701, 'yes']","['material']","['metal']","['pitcher']","experimental_trial","","pitcher_metal_green","list1"
