workerid,proliferate.condition,adjQuestion,competitorName,condition,contextID,contextVar,correctAnsQuestion,featureQuestion,notCompetitorName,numQuestion,object,response,rt,slide_number_in_experiment,targetName,utterance,catch_trials,subject_information.age,subject_information.asses,subject_information.color,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
1275,list1,,,,,,,,,,Mary,Mary,0,1,,bot_check,[],31,Yes,No,,4,2,Female,English,Safari,Mac,900,1440,2.8693,
1275,list1,blue,box_wood_blue,color_correct,practice_1,,yes,color,box_wood_brown,2,,"[14159, 'yes']",,practice_trial,box_cardboard_blue,,[],31,Yes,No,,4,2,Female,English,Safari,Mac,900,1440,2.8693,
1275,list1,plastic,ball_metal_red,material_incorrect,practice_2,,no,material,ball_plastic_red,4,,"[5302, 'no']",,practice_trial,ball_metal_green,,[],31,Yes,No,,4,2,Female,English,Safari,Mac,900,1440,2.8693,
1275,list1,metal,bowl_glass_blue,material_correct,practice_3,,yes,material,bowl_metal_blue,2,,"[3391, 'yes']",,practice_trial,bowl_glass_green,,[],31,Yes,No,,4,2,Female,English,Safari,Mac,900,1440,2.8693,
1275,list1,blue,vase_glass_green,color_incorrect,practice_4,,no,color,vase_glass_blue,3,,"[4073, 'no']",,practice_trial,vase_wood_green,,[],31,Yes,No,,4,2,Female,English,Safari,Mac,900,1440,2.8693,
1275,list1,green,bag_plastic_blue,color_incorrect,practice_5,,no,color,bag_plastic_green,4,,"[3605, 'no']",,practice_trial,bag_paper_blue,,[],31,Yes,No,,4,2,Female,English,Safari,Mac,900,1440,2.8693,
1275,list1,wooden,door_steel_yellow,material_correct,practice_6,,yes,material,door_steel_red,1,,"[3870, 'yes']",,practice_trial,door_wood_yellow,,[],31,Yes,No,,4,2,Female,English,Safari,Mac,900,1440,2.8693,
1275,list1,glass,bottle_plastic_green,material1_incorrect,bgg_bpg_bpb,bgg_bpg_bpb_2,no,material,bottle_plastic_blue,"['2', '3']",,"[4995, 'no']",,11,bottle_glass_green,,[],31,Yes,No,,4,2,Female,English,Safari,Mac,900,1440,2.8693,
1275,list1,pink,plate_plastic_blue_original,color2_correct,ppb_ppbo_ppp,ppb_ppbo_ppp_2,yes,color,plate_plastic_pink,2,,"[1993, 'yes']",,12,plate_paper_blue,,[],31,Yes,No,,4,2,Female,English,Safari,Mac,900,1440,2.8693,
1275,list1,metal,pitcher_glass_blue,material1_incorrect,pmb_pgb_pgco,pmb_pgb_pgco_2,no,material,pitcher_glass_clear_original,"['2', '3']",,"[3727, 'no']",,13,pitcher_metal_blue,,[],31,Yes,No,,4,2,Female,English,Safari,Mac,900,1440,2.8693,
