workerid,proliferate.condition,adjQuestion,competitorName,condition,contextID,contextVar,correctAnsQuestion,featureQuestion,notCompetitorName,numQuestion,object,response,rt,slide_number_in_experiment,targetName,utterance,catch_trials,subject_information.age,subject_information.asses,subject_information.color,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
1704,list3,,,,,,,,,,Elizabeth,Elizabeth,0,1,,bot_check,[],39,No,Yes,,4,1,Male,ENglish,Chrome,Mac,900,1440,3.3895666666666666,
1704,list3,blue,box_wood_blue,color_correct,practice_1,,yes,color,box_wood_brown,2,,"[14093, 'no']",,practice_trial,box_cardboard_blue,,[],39,No,Yes,,4,1,Male,ENglish,Chrome,Mac,900,1440,3.3895666666666666,
1704,list3,plastic,ball_metal_red,material_incorrect,practice_2,,no,material,ball_plastic_red,4,,"[8732, 'no']",,practice_trial,ball_metal_green,,[],39,No,Yes,,4,1,Male,ENglish,Chrome,Mac,900,1440,3.3895666666666666,
1704,list3,metal,bowl_glass_blue,material_correct,practice_3,,yes,material,bowl_metal_blue,2,,"[3457, 'no']",,practice_trial,bowl_glass_green,,[],39,No,Yes,,4,1,Male,ENglish,Chrome,Mac,900,1440,3.3895666666666666,
1704,list3,blue,vase_glass_green,color_incorrect,practice_4,,no,color,vase_glass_blue,3,,"[2998, 'no']",,practice_trial,vase_wood_green,,[],39,No,Yes,,4,1,Male,ENglish,Chrome,Mac,900,1440,3.3895666666666666,
1704,list3,green,bag_plastic_blue,color_incorrect,practice_5,,no,color,bag_plastic_green,4,,"[2977, 'no']",,practice_trial,bag_paper_blue,,[],39,No,Yes,,4,1,Male,ENglish,Chrome,Mac,900,1440,3.3895666666666666,
1704,list3,wooden,door_steel_yellow,material_correct,practice_6,,yes,material,door_steel_red,1,,"[4097, 'yes']",,practice_trial,door_wood_yellow,,[],39,No,Yes,,4,1,Male,ENglish,Chrome,Mac,900,1440,3.3895666666666666,
1704,list3,brown,boot_leather_brown,color2_incorrect,blg_blb_brb,blg_blb_brb_2,no,color,boot_rubber_brown,"['4', '5']",,"[2761, 'no']",,11,boot_leather_green,,[],39,No,Yes,,4,1,Male,ENglish,Chrome,Mac,900,1440,3.3895666666666666,
1704,list3,plastic,chair_metal_green,material2_correct,cmp_cmg_cpg,cmp_cmg_cpg_2,yes,material,chair_plastic_green,2,,"[4332, 'no']",,12,chair_metal_purple,,[],39,No,Yes,,4,1,Male,ENglish,Chrome,Mac,900,1440,3.3895666666666666,
1704,list3,blue,pitcher_glass_blue,color1_correct,pmb_pgb_pgg,pmb_pgb_pgg_1,yes,color,pitcher_glass_green,2,,"[1956, 'no']",,13,pitcher_metal_blue,,[],39,No,Yes,,4,1,Male,ENglish,Chrome,Mac,900,1440,3.3895666666666666,
