"workerid","age","language","gender","education","enjoyment","asses","comments","speaker_cond"
0,28,"English","Female",2,1,"Yes","","list1"
1,22,"english","Male",3,1,"Yes","","list1"
2,23,"English","Female",3,1,"Yes","","list1"
3,24,"English","Female",2,2,"Yes","","list1"
4,28,"English","Female",2,1,"Yes","","list1"
5,33,"English","Female",3,1,"Yes","","list1"
6,33,"english","Male",2,1,"Yes","","list1"
7,38,"English","Female",4,2,"Yes","","list1"
8,28,"English","Female",3,1,"Yes","Was easy and fast. ","list1"
9,55,"english","Female",3,2,"Yes","tyvm!","list1"
10,32,"English","Male",2,2,"Yes","","list1"
11,28,"English","Female",3,2,"Yes","","list1"
12,49,"English","Female",3,1,"Yes","","list1"
13,26,"English","Female",3,2,"Yes","","list1"
14,53,"English","Female",2,2,"Yes","Enjoyed the hit. Thanks for letting me participate. Happy Holidays!","list1"
15,44,"Enlish","Male",3,2,"Yes","","list2"
16,44,"english","Female",3,2,"Yes","none","list2"
17,51,"English","Female",2,2,"Yes","Thanks","list2"
18,24,"English","Male",3,1,"Yes","","list2"
19,27,"English","Male",2,1,"Yes","","list2"
20,36,"English","Female",2,2,"Yes","","list2"
21,40,"English","Female",3,1,"No","","list2"
22,26,"english","Female",0,2,"Yes","","list2"
23,31,"English","Male",1,1,"Yes","","list2"
24,28,"English","Male",2,2,"Yes","","list2"
25,33,"english","Male",1,1,"Yes","","list2"
26,25,"english","Female",2,1,"Yes","no comments","list2"
27,26,"English","Male",2,2,"Yes","","list2"
28,37,"Emglish","Female",2,2,"Yes","","list2"
29,22,"English","Female",1,2,"Yes","","list2"
