"workerid","proliferate.condition","adjQuestion","competitorName","condition","contextID","contextVar","correctAnsQuestion","featureQuestion","notCompetitorName","numQuestion","object","response","rt","slide_number_in_experiment","targetName","utterance","error","speaker_cond"
1275,"list1","","","","","","","","","","Mary","Mary",0,"1","","bot_check",NA,"batch1"
1275,"list1","blue","box_wood_blue","color_correct","practice_1","","yes","color","box_wood_brown","2","","[14159, 'yes']",NA,"practice_trial","box_cardboard_blue","",NA,"batch1"
1275,"list1","plastic","ball_metal_red","material_incorrect","practice_2","","no","material","ball_plastic_red","4","","[5302, 'no']",NA,"practice_trial","ball_metal_green","",NA,"batch1"
1275,"list1","metal","bowl_glass_blue","material_correct","practice_3","","yes","material","bowl_metal_blue","2","","[3391, 'yes']",NA,"practice_trial","bowl_glass_green","",NA,"batch1"
1275,"list1","blue","vase_glass_green","color_incorrect","practice_4","","no","color","vase_glass_blue","3","","[4073, 'no']",NA,"practice_trial","vase_wood_green","",NA,"batch1"
1275,"list1","green","bag_plastic_blue","color_incorrect","practice_5","","no","color","bag_plastic_green","4","","[3605, 'no']",NA,"practice_trial","bag_paper_blue","",NA,"batch1"
1275,"list1","wooden","door_steel_yellow","material_correct","practice_6","","yes","material","door_steel_red","1","","[3870, 'yes']",NA,"practice_trial","door_wood_yellow","",NA,"batch1"
1275,"list1","glass","bottle_plastic_green","material1_incorrect","bgg_bpg_bpb","bgg_bpg_bpb_2","no","material","bottle_plastic_blue","['2', '3']","","[4995, 'no']",NA,"11","bottle_glass_green","",NA,"batch1"
1275,"list1","pink","plate_plastic_blue_original","color2_correct","ppb_ppbo_ppp","ppb_ppbo_ppp_2","yes","color","plate_plastic_pink","2","","[1993, 'yes']",NA,"12","plate_paper_blue","",NA,"batch1"
1275,"list1","metal","pitcher_glass_blue","material1_incorrect","pmb_pgb_pgco","pmb_pgb_pgco_2","no","material","pitcher_glass_clear_original","['2', '3']","","[3727, 'no']",NA,"13","pitcher_metal_blue","",NA,"batch1"
1275,"list1","metal","chair_metal_green","material1_incorrect","cmp_cmg_cwg","cmp_cmg_cwg_1","no","material","chair_wood_green","['3', '4']","","[3480, 'no']",NA,"14","chair_metal_purple","",NA,"batch1"
1275,"list1","silver","cup_metal_green","color2_correct","cpg_cmg_cmso","cpg_cmg_cmso_1","yes","color","cup_metal_silver_original","2","","[2821, 'yes']",NA,"15","cup_plastic_green","",NA,"batch1"
1275,"list1","metal","table_wood_blue","material1_incorrect","tmb_twb_twbo","tmb_twb_twbo_1","no","material","table_wood_brown_original","['2', '3']","","[4360, 'no']",NA,"16","table_metal_blue","",NA,"batch1"
1275,"list1","green","cup_metal_green","color1_incorrect","cpg_cmg_cmb","cpg_cmg_cmb_1","no","color","cup_metal_blue","['3', '4']","","[2494, 'no']",NA,"17","cup_plastic_green","",NA,"batch1"
1275,"list1","blue","pitcher_plastic_blue","color1_correct","pmb_ppb_ppwo","pmb_ppb_ppwo_1","yes","color","pitcher_plastic_white_original","2","","[2540, 'yes']",NA,"18","pitcher_metal_blue","",NA,"batch1"
1275,"list1","blue","table_metal_blue","color2_correct","tmg_tmb_twb","tmg_tmb_twb_2","yes","color","table_wood_blue","3","","[3805, 'yes']",NA,"19","table_metal_green","",NA,"batch1"
1275,"list1","blue","table_metal_green","color1_incorrect","tmb_tmg_twg","tmb_tmg_twg_2","no","color","table_wood_green","['2', '3']","","[2867, 'no']",NA,"20","table_metal_blue","",NA,"batch1"
1275,"list1","green","spoon_wood_blue","color1_correct","swg_swb_spb","swg_swb_spb_2","yes","color","spoon_plastic_blue","1","","[3281, 'yes']",NA,"21","spoon_wood_green","",NA,"batch1"
