"enjoyment","language","asses","comments","education","gender","age","workerid","speaker_cond"
1,"English","No","No comments.",4,"Male",38,0,"typ1"
2,"english","Yes","",2,"Male",23,1,"typ1"
2,"english","Yes","thank you",1,"Female",36,2,"typ1"
2,"English","Yes","Thanks",3,"Female",62,3,"typ1"
2,"English","Yes","I like how responsive the task was. I was able to do it quite fast.",2,"Male",34,4,"typ1"
2,"English","Yes","",3,"Male",37,5,"typ1"
2,"english","Yes","",3,"Male",30,6,"typ1"
2,"english","Yes","",2,"Male",26,7,"typ1"
2,"English","Yes","",3,"Male",36,8,"typ1"
1,"english","Yes","n/a",3,"Male",28,9,"typ1"
2,"English","Yes","",2,"Female",27,10,"typ1"
1,"English","Yes","",2,"Male",26,11,"typ1"
2,"English","Yes","Thank You
A3908297ZI3LES",1,"Female",57,12,"typ1"
2,"english","Yes","",1,"Male",42,13,"typ1"
2,"English","Yes","Enjoyable task, thank you. ",2,"Male",41,14,"typ1"
2,"English","Yes","",3,"Female",26,15,"typ1"
2,"English","Yes","",3,"Male",39,16,"typ1"
2,"English","Yes","It was a different and interesting Hit. / Happy to Participate.",1,"Male",43,17,"typ1"
1,"english","Yes","",4,"Female",30,18,"typ1"
1,"english","Confused","",3,"Female",60,19,"typ1"
1,"English","Yes","",4,"Female",30,20,"typ1"
2,"English","Yes","",3,"Male",29,21,"typ1"
2,"English","Yes","",3,"Female",25,22,"typ1"
2,"english","Yes","",2,"Female",44,23,"typ1"
1,"English","Yes","",2,"Female",30,24,"typ1"
1,"english","Yes","",1,"Female",34,25,"typ1"
2,"English","Yes","Nice Task and thanks for the opportunity",4,"Male",28,26,"typ1"
2,"english","Yes","",2,"Male",31,27,"typ1"
2,"english","Yes","",3,"Male",27,28,"typ1"
2,"English","Yes","None",2,"Male",29,29,"typ1"
2,"English","Yes","",3,"Male",32,30,"typ1"
1,"English","Yes","",3,"Female",34,31,"typ1"
1,"United States","Yes","",2,"Female",25,32,"typ1"
2,"English","Yes","",2,"Female",31,33,"typ1"
2,"English","Yes","No comments ",3,"Male",29,34,"typ1"
2,"English","Yes","Thanks!",2,"Male",38,35,"typ1"
2,"English","Yes","This was a highly interesting study.",3,"Male",28,36,"typ1"
2,"English","Yes","Interesting",3,"Male",32,37,"typ1"
1,"English","Yes","",1,"Male",28,38,"typ1"
2,"English","Yes","",3,"Male",23,39,"typ1"
2,"English","Yes","",4,"Male",40,40,"typ1"
2,"English","Yes","Interesting survey",3,"Male",25,41,"typ1"
1,"english","Yes","good use full survey",3,"Male",25,42,"typ1"
2,"english","Yes","",3,"Male",30,43,"typ1"
2,"English","Yes","",3,"Male",30,44,"typ1"
2,"English","Yes","",2,"Female",36,45,"typ2"
1,"English","Yes","",3,"Male",38,46,"typ2"
