"","workerid","proliferate.condition","adjQuestion","competitorName","condition","contextID","contextVar","correctAnsQuestion","featureQuestion","notCompetitorName","numQuestion","object","rt","response","slide_number_in_experiment","targetobject","targetmaterial","targetcolor","targetoriginal","utterance","error","speaker_cond","number_matching","targetname","gaveRightAnswer"
"1",1275,"list1","glass","bottle_plastic_green","material1_incorrect","bgg_bpg_bpb","bgg_bpg_bpb_2","no","material","bottle_plastic_blue","['2', '3']","",4995,"no","11","bottle","glass","green",NA,"",NA,"batch1","no","bottle_glass_green",1
"2",1275,"list1","pink","plate_plastic_blue_original","color2_correct","ppb_ppbo_ppp","ppb_ppbo_ppp_2","yes","color","plate_plastic_pink","2","",1993,"yes","12","plate","paper","blue",NA,"",NA,"batch1","yes","plate_paper_blue",1
"3",1275,"list1","metal","pitcher_glass_blue","material1_incorrect","pmb_pgb_pgco","pmb_pgb_pgco_2","no","material","pitcher_glass_clear_original","['2', '3']","",3727,"no","13","pitcher","metal","blue",NA,"",NA,"batch1","no","pitcher_metal_blue",1
"4",1275,"list1","metal","chair_metal_green","material1_incorrect","cmp_cmg_cwg","cmp_cmg_cwg_1","no","material","chair_wood_green","['3', '4']","",3480,"no","14","chair","metal","purple",NA,"",NA,"batch1","no","chair_metal_purple",1
"5",1275,"list1","silver","cup_metal_green","color2_correct","cpg_cmg_cmso","cpg_cmg_cmso_1","yes","color","cup_metal_silver_original","2","",2821,"yes","15","cup","plastic","green",NA,"",NA,"batch1","yes","cup_plastic_green",1
"6",1275,"list1","metal","table_wood_blue","material1_incorrect","tmb_twb_twbo","tmb_twb_twbo_1","no","material","table_wood_brown_original","['2', '3']","",4360,"no","16","table","metal","blue",NA,"",NA,"batch1","no","table_metal_blue",1
"7",1275,"list1","green","cup_metal_green","color1_incorrect","cpg_cmg_cmb","cpg_cmg_cmb_1","no","color","cup_metal_blue","['3', '4']","",2494,"no","17","cup","plastic","green",NA,"",NA,"batch1","no","cup_plastic_green",1
"8",1275,"list1","blue","pitcher_plastic_blue","color1_correct","pmb_ppb_ppwo","pmb_ppb_ppwo_1","yes","color","pitcher_plastic_white_original","2","",2540,"yes","18","pitcher","metal","blue",NA,"",NA,"batch1","yes","pitcher_metal_blue",1
"9",1275,"list1","blue","table_metal_blue","color2_correct","tmg_tmb_twb","tmg_tmb_twb_2","yes","color","table_wood_blue","3","",3805,"yes","19","table","metal","green",NA,"",NA,"batch1","yes","table_metal_green",1
"10",1275,"list1","blue","table_metal_green","color1_incorrect","tmb_tmg_twg","tmb_tmg_twg_2","no","color","table_wood_green","['2', '3']","",2867,"no","20","table","metal","blue",NA,"",NA,"batch1","no","table_metal_blue",1
"11",1275,"list1","green","spoon_wood_blue","color1_correct","swg_swb_spb","swg_swb_spb_2","yes","color","spoon_plastic_blue","1","",3281,"yes","21","spoon","wood","green",NA,"",NA,"batch1","yes","spoon_wood_green",1
"12",1275,"list1","black","jacket_leather_purple","color2_incorrect","jdp_jlp_jlbo","jdp_jlp_jlbo_1","no","color","jacket_leather_black_original","['3', '4']","",3464,"no","22","jacket","denim","purple",NA,"",NA,"batch1","no","jacket_denim_purple",1
"13",1275,"list1","glass","bottle_glass_green","material2_incorrect","bpg_bgg_bgb","bpg_bgg_bgb_2","no","material","bottle_glass_blue","['4', '5']","",3357,"no","23","bottle","plastic","green",NA,"",NA,"batch1","no","bottle_plastic_green",1
"14",1275,"list1","plastic","pitcher_plastic_blue","material2_incorrect","pmb_ppb_ppg","pmb_ppb_ppg_1","no","material","pitcher_plastic_green","['4', '5']","",3936,"no","24","pitcher","metal","blue",NA,"",NA,"batch1","no","pitcher_metal_blue",1
"15",1275,"list1","green","boot_leather_brown","color1_incorrect","blg_blb_brb","blg_blb_brb_1","no","color","boot_rubber_brown","['2', '3']","",2610,"no","25","boot","leather","green",NA,"",NA,"batch1","no","boot_leather_green",1
"16",1275,"list1","purple","chair_metal_purple","color2_incorrect","cmg_cmp_cwp","cmg_cmp_cwp_2","no","color","chair_wood_purple","['4', '5']","",2578,"no","26","chair","metal","green",NA,"",NA,"batch1","no","chair_metal_green",1
"17",1275,"list1","plastic","plate_paper_green","material2_correct","ppb_ppg_ppg","ppb_ppg_ppg_2","yes","material","plate_plastic_green","2","",3896,"yes","27","plate","paper","blue",NA,"",NA,"batch1","yes","plate_paper_blue",1
"18",1275,"list1","green","boot_leather_black_original","color1_correct","blg_blbo_brbo","blg_blbo_brbo_2","yes","color","boot_rubber_black_original","1","",2368,"no","28","boot","leather","green",NA,"",NA,"batch1","yes","boot_leather_green",0
"19",1275,"list1","glass","pitcher_glass_blue","material2_correct","pmb_pgb_pgg","pmb_pgb_pgg_1","yes","material","pitcher_glass_green","3","",2730,"yes","29","pitcher","metal","blue",NA,"",NA,"batch1","yes","pitcher_metal_blue",1
"20",1275,"list1","metal","spoon_wood_blue","material2_incorrect","swg_swb_smb","swg_swb_smb_2","no","material","spoon_metal_blue","['3', '4']","",3812,"no","30","spoon","wood","green",NA,"",NA,"batch1","no","spoon_wood_green",1
"21",1275,"list1","plastic","bottle_plastic_green","material2_correct","bgg_bpg_bpco","bgg_bpg_bpco_2","yes","material","bottle_plastic_clear_original","3","",2914,"yes","31","bottle","glass","green",NA,"",NA,"batch1","yes","bottle_glass_green",1
"22",1275,"list1","metal","table_metal_green","material1_correct","tmso_tmg_twg","tmso_tmg_twg_2","yes","material","table_wood_green","2","",5127,"yes","32","table","metal","silver","original","",NA,"batch1","yes","table_metal_silver_original",1
"23",1275,"list1","green","plate_paper_blue","color2_incorrect","ppbo_ppb_ppg","ppbo_ppb_ppg_1","no","color","plate_paper_green","['3', '4']","",2351,"no","33","plate","plastic","blue","original","",NA,"batch1","no","plate_plastic_blue_original",1
"24",1275,"list1","wooden","table_wood_blue","material2_correct","tmb_twb_twg","tmb_twb_twg_2","yes","material","table_wood_green","3","",3042,"yes","34","table","metal","blue",NA,"",NA,"batch1","yes","table_metal_blue",1
"25",1275,"list1","plastic","plate_paper_blue","material1_correct","ppbo_ppb_ppwo","ppbo_ppb_ppwo_1","yes","material","plate_paper_white_original","1","",3036,"yes","35","plate","plastic","blue","original","",NA,"batch1","yes","plate_plastic_blue_original",1
"26",1275,"list1","green","bottle_glass_green","color1_correct","bpg_bgg_bgco","bpg_bgg_bgco_2","yes","color","bottle_glass_clear_original","2","",2804,"yes","36","bottle","plastic","green",NA,"",NA,"batch1","yes","bottle_plastic_green",1
"27",1275,"list1","blue","plate_plastic_blue_original","color1_incorrect","ppb_ppbo_ppg","ppb_ppbo_ppg_2","no","color","plate_plastic_green","['3', '4']","",2964,"no","37","plate","paper","blue",NA,"",NA,"batch1","no","plate_paper_blue",1
"28",1275,"list1","purple","chair_metal_purple","color2_correct","cmg_cmp_cpp","cmg_cmp_cpp_2","yes","color","chair_plastic_purple","3","",1971,"yes","38","chair","metal","green",NA,"",NA,"batch1","yes","chair_metal_green",1
